event_id,device_id,property_id,temperature,smoke_level,flame_detected,duration_seconds,latitude,longitude,timestamp,label
48b5266d,ESP32_017,PROP_019,25.9,318,False,4,28.608612,77.179814,2026-09-29T16:23:00,ANOMALY
4eb019ba,ESP32_007,PROP_008,66.7,365,False,5,28.601388,77.173158,2026-09-14T22:03:00,POSSIBLE_FIRE
12f8d91d,ESP32_006,PROP_006,30.7,98,True,1,28.566453,77.173358,2026-09-27T09:51:00,NORMAL
c47a4b1d,ESP32_006,PROP_034,28.3,70,False,2,28.626229,77.229781,2026-09-18T15:46:00,NORMAL
d023da55,ESP32_009,PROP_020,74.9,761,True,29,28.579695,77.229149,2026-09-11T19:49:00,CONFIRMED_FIRE
945bbece,ESP32_005,PROP_028,29.5,74,False,0,28.552007,77.182208,2026-09-21T18:46:00,NORMAL
257b2d9e,ESP32_005,PROP_048,32.8,11,False,0,28.633137,77.209898,2026-09-12T07:28:00,NORMAL
b2e00e85,ESP32_006,PROP_037,25.3,79,False,3,28.622313,77.170056,2026-09-14T13:40:00,NORMAL
b5e11ee9,ESP32_001,PROP_007,29.6,593,False,5,28.585509,77.199566,2026-09-14T09:39:00,ANOMALY
1ddff44f,ESP32_008,PROP_021,70.6,474,False,2,28.647607,77.175683,2026-09-19T10:42:00,POSSIBLE_FIRE
83ab6a83,ESP32_002,PROP_024,31.1,420,False,0,28.640157,77.166904,2026-09-21T07:04:00,ANOMALY
15002fef,ESP32_003,PROP_029,68.3,300,False,4,28.569479,77.231603,2026-09-29T06:41:00,POSSIBLE_FIRE
f0c9cdad,ESP32_009,PROP_015,94.3,883,True,24,28.598027,77.237041,2026-09-27T19:43:00,CONFIRMED_FIRE
126d794f,ESP32_010,PROP_016,81.5,389,False,5,28.638425,77.236268,2026-09-21T01:19:00,POSSIBLE_FIRE
3e8fd3d3,ESP32_006,PROP_043,24.6,57,False,0,28.552711,77.22835,2026-09-10T19:57:00,NORMAL
2d51050a,ESP32_001,PROP_004,81.1,894,True,18,28.618423,77.186993,2026-09-16T10:05:00,CONFIRMED_FIRE
d2f7298f,ESP32_002,PROP_044,22.5,0,False,2,28.562345,77.170598,2026-09-30T19:19:00,NORMAL
01f9c64f,ESP32_001,PROP_003,64.5,477,True,4,28.583795,77.180998,2026-09-07T15:57:00,POSSIBLE_FIRE
463d72d2,ESP32_013,PROP_049,25.1,56,False,0,28.594418,77.217559,2026-09-17T02:25:00,NORMAL
81368084,ESP32_006,PROP_045,65.4,0,False,12,28.592835,77.196472,2026-09-01T00:36:00,ANOMALY
